image_index,object_count,total_area
1183,90,21308
1184,74,20737
1185,83,25336
1186,83,25490
1187,78,23109
1188,75,22879
1189,89,28464
1190,50,17265
1191,84,25911
1192,37,9119
1193,46,14914
1194,62,19284
1195,52,13991
1196,73,21787
1197,64,19260
1198,68,20195
1199,68,21455
1200,95,25783
1201,103,27444
1202,76,23246
1203,103,27777
1204,91,27788
1205,77,23663
1206,79,26282
1207,73,24654
1208,92,23743
1209,116,26435
1210,83,22587
1211,120,30979
1212,64,15928
1213,73,17597
1214,61,14724
1215,47,12968
1216,77,18433
1217,80,22864
1218,83,24428
1219,76,22118
1220,19,3944
1221,26,6223
1222,64,19841
1223,46,14349
1224,80,25149
1225,81,24276
1226,80,23735
1227,91,27638
1228,59,15892
1229,15,4434
1230,69,18719
1231,79,20776
1232,83,20490
1233,80,24675
1234,81,21401
1235,86,22260
1236,98,24082
1237,89,23045
1238,82,22907
1239,73,22490
1240,75,21250
1241,75,23946
1242,71,20441
1243,61,18935
1244,68,21598
1245,74,28372
1246,67,23814
1247,101,28566
1248,105,28274
1249,106,28851
1250,105,28335
1251,65,20934
1252,85,24750
1253,88,24547
1254,72,17151
1255,83,23661
1256,68,23175
1257,62,20434
1258,68,21011
1259,74,23050
1260,10,1626
1261,38,9288
1262,72,15173
1263,76,25904
1264,93,23850
1265,87,23680
1266,78,20214
1267,83,23768
1268,66,16930
1269,76,22195
1270,54,13225
1271,72,21080
1272,78,22170
1273,81,21477
1274,101,25625
1275,116,22575
1276,88,21952
1277,113,15621
1278,94,12955
1279,79,21660
1280,77,21028
1281,94,28017
1282,76,26122
1283,112,26304
1284,87,23860
1285,108,27155
1286,85,24620
1287,46,9676
1288,35,7585
1289,18,3882
1290,41,9670
1291,40,9264
1292,66,17186
1293,57,22903
1294,49,22709
1295,74,19385
1296,74,19883
1297,81,22841
1298,74,18659
1299,89,25858
1300,100,27150
1301,67,24341
1302,93,28296
1303,187,38333
1304,166,32345
1305,165,39727
1306,98,21653
