image_index,object_count,total_area
949,124,30068
950,132,35011
951,111,27931
952,113,30667
953,46,13502
954,95,29489
955,76,23873
956,105,31630
957,94,21875
958,21,4550
959,86,18325
960,20,4283
961,93,30573
962,42,12922
963,60,20094
964,36,11115
965,104,28784
966,103,29836
967,101,34548
968,111,30330
969,100,30956
970,32,8263
971,98,30503
972,32,8967
973,98,23770
974,93,24932
975,90,19859
976,91,22721
977,99,31365
978,104,32408
979,110,31328
980,103,30500
981,28,8439
982,109,31725
983,32,9400
984,107,28076
985,100,31500
986,110,32646
987,104,29521
988,126,37146
989,103,24802
990,33,6994
991,99,25129
992,33,6613
993,59,19359
994,26,9178
995,82,26896
996,24,8010
997,9,1899
998,4,1235
999,14,2803
1000,5,1448
1001,4,1466
1002,66,18171
1003,7,1323
1004,51,14241
1005,17,4370
1006,40,11727
1007,8,12016
1008,107,32676
1009,112,34008
1010,111,30991
1011,112,34355
1012,93,23514
1013,25,5172
1014,84,21447
1015,27,5125
1016,89,25489
1017,22,7423
1018,85,21290
1019,23,5613
1020,65,20724
1021,92,29463
1022,103,29083
1023,101,31474
1024,95,23348
1025,119,28188
1026,93,22686
1027,100,22526
1028,93,23925
1029,86,22565
1030,104,29014
1031,86,22282
1032,103,27653
1033,78,23065
1034,104,30881
1035,117,28565
1036,102,25276
1037,98,22877
1038,89,19834
1039,103,23539
1040,120,32821
1041,27,7589
1042,126,33851
1043,32,7826
1044,102,33395
1045,38,8962
1046,107,33909
1047,34,7895
1048,96,22009
1049,96,21588
1050,65,14625
1051,61,17261
1052,88,24601
1053,96,24282
1054,101,29062
1055,83,23304
1056,94,29263
1057,23,6568
1058,93,30899
1059,25,7291
1060,103,25428
1061,20,4646
1062,96,21097
1063,26,5990
1064,90,20916
1065,24,4593
1066,72,15756
1067,19,5001
1068,32,7320
1069,45,13946
1070,31,8361
1071,37,10563
1072,98,26405
1073,25,6171
1074,88,23206
1075,23,5770
1076,107,23732
1077,96,21107
1078,99,21079
1079,89,21873
1080,103,23601
1081,118,25372
1082,98,22267
1083,89,18846
1084,104,30993
1085,101,31083
1086,105,33334
1087,97,33320
1088,115,32728
1089,120,34402
1090,119,34321
1091,105,32349
1092,106,31923
1093,100,32165
1094,118,30795
1095,112,32988
1096,123,35673
1097,108,30401
1098,102,31357
1099,91,27721
1100,25,8944
1101,16,4954
1102,27,9722
1103,26,9537
1104,105,24979
1105,34,6458
1106,103,21140
1107,28,5328
1108,104,31243
1109,115,33581
1110,111,35060
1111,100,28694
1112,92,23494
1113,24,4985
1114,100,22316
1115,28,5860
1116,119,38831
1117,113,39696
1118,103,37601
1119,103,38506
1120,106,25206
1121,101,23334
1122,90,21487
1123,99,21273
1124,112,25546
1125,31,6305
1126,99,22825
1127,31,5289
1128,112,30902
1129,100,26953
1130,94,25308
1131,104,27485
1132,9,306
1133,28,7178
1134,4,539
1135,89,21829
1136,103,32685
1137,108,30494
1138,104,30994
1139,101,30650
1140,55,15899
1141,123,33490
1142,98,27817
1143,107,29960
1144,107,25415
1145,28,6226
1146,102,26255
1147,32,6971
1148,103,25467
1149,9,1785
1150,101,27508
1151,16,4215
1152,82,21667
1153,46,12385
1154,95,24835
1155,76,21104
1156,114,34146
1157,93,29679
1158,96,28263
1159,110,30608
1160,92,34250
1161,88,35476
1162,98,36202
1163,103,39592
1164,75,32115
1165,81,31868
1166,91,35866
1167,94,36839
1168,126,37424
1169,118,34176
1170,126,33701
1171,114,37000
1172,105,34869
1173,92,32112
1174,97,31649
1175,102,33401
1176,96,30512
1177,88,29236
1178,99,27771
1179,106,33796
1180,87,33418
1181,93,32430
1182,76,31139
1183,97,30317
1184,109,32556
1185,107,31901
1186,102,30440
1187,95,29714
1188,84,29607
1189,103,36145
1190,92,35005
1191,81,32331
1192,90,32209
1193,88,35460
1194,71,27615
1195,93,35598
1196,42,14738
1197,55,22975
1198,79,28086
1199,63,21900
1200,86,33048
1201,67,28075
1202,78,29972
1203,75,30050
1204,102,38839
1205,120,39444
